ID,Report_ID,cohens_d,hedges_g,dataset
HAI05,R2,-0.6345104808400395,-0.6298790174762435,versus
HAI05,R1,-0.6415605972938176,-0.6368776732259795,versus
HAI14,R1,0.8357840507115868,0.835574947871779,versus
HAI13,R1,0.1,0.09938398357289528,versus
HAI08,R1,0.6969973073132899,0.6965442213063691,versus
HAI04,R1,1.5811388300841873,1.5771826862224254,versus
HAI04,R1,2.459674775249768,2.453520459715365,versus
HAI16,R1,-1.3063113661224235,-1.304354833871616,versus
HAI21,R2,-0.18345164687280083,-0.18279879403695456,versus
HAI01,R1,-2.347454083386067,-2.329066714586698,versus
HAI07,R1,-1.8522075911754579,-1.8404100905947225,versus
HAI07,R2,1.5483548732827945,1.5384927403319486,versus
HAI07,R3,2.7584302248686834,2.7408606056020037,versus
HAI15,R12,-4.546671554249572,-4.315484865050442,versus
HAI20,R1,-1.4130740326864184,-1.4118987562522463,versus
HAI15,R8,-1.9770423177441052,-1.8765147422655915,versus
HAI15,R3,-0.5828155051501961,-0.5531808184476438,versus
HAI15,R2,-0.4046834589915917,-0.38410633395812094,versus
HAI15,R11,-1.4555221059602519,-1.3815125073521035,versus
HAI11,R1,0.6478230717171992,0.6470102447765252,versus
HAI11,R2,0.8412084421582005,0.8396981936085448,versus
HAI15,R4,-1.093828220970345,-1.0382098368532087,versus
HAI20,R2,3.706306778935518,3.7032512910715973,versus
HAI15,R1,-0.2981423969999722,-0.28298261410166853,versus
HAI15,R9,-1.8152301943772464,-1.722930353985183,versus
HAI09,R1,1.0614035087719298,1.060765518283788,versus
HAI15,R5,-0.9892262330905571,-0.9389265941198509,versus
HAI15,R7,-1.4948368743918843,-1.4188282197617885,versus
HAI15,R10,-2.9122124914044347,-2.7641338901465824,versus
HAI15,R6,-1.504793990627039,-1.4282790419510878,versus
HAI03,R37,0.263,0.2625914034179182,versus
HAI03,R42,-0.605,-0.6040600725012947,versus
HAI03,R47,-0.196,-0.19569549456240293,versus
HAI03,R50,-1.278,-1.2760145002589334,versus
HAI03,R35,-0.604,-0.6030616261004661,versus
HAI03,R40,-1.441,-1.4387612635939928,versus
HAI03,R45,-0.779,-0.7777897462454687,versus
HAI03,R48,-1.765,-1.7622578974624548,versus
HAI03,R36,1.416,1.4138001035732781,versus
HAI03,R41,-1.612,-1.609495598135681,versus
HAI03,R46,-0.718,-0.716884515794925,versus
HAI03,R49,-1.242,-1.240070429829104,versus
HAI03,R38,-0.161,-0.1607498705334024,versus
HAI03,R43,-0.98,-0.9784774728120145,versus
HAI03,R51,-1.663,-1.660416364577939,versus
HAI03,R39,-0.034,-0.03394717762817193,versus
HAI03,R44,-0.619,-0.6180383221128949,versus
HAI03,R52,-1.461,-1.4587301916105646,versus
HAI04,R2,1.0504514628777784,1.0478231439548147,versus
HAI04,R2,1.3949716649258301,1.3914813271487012,versus
HAI13,R3,0.77,0.7652566735112937,versus
HAI04,R3,1.571841070770891,1.5679081906938994,versus
HAI03,R3,-0.087,-0.086864836872087,versus
HAI03,R8,0.133,0.13279337131020197,versus
HAI03,R1,-0.026,-0.02595960642154324,versus
HAI03,R6,-0.196,-0.19569549456240293,versus
HAI03,R2,-0.037,-0.03694251683065769,versus
HAI03,R7,-0.046,-0.04592853443811497,versus
HAI03,R4,-0.313,-0.3125137234593475,versus
HAI03,R9,-0.066,-0.0658974624546867,versus
HAI03,R5,-0.271,-0.2705789746245469,versus
HAI03,R10,-0.371,-0.3704236147074055,versus
HAI13,R2,0.52,0.5167967145790554,versus
HAI18,R1,0.27792085204244754,0.27722079951841117,versus
HAI19,R1,1.81,1.8031352718078382,versus
HAI02,R1,-0.2927721378931888,-0.29182054914597366,versus
HAI10,R1,1.7235310478256807,1.6507057922837507,versus
HAI17,R1,0.7870870008677827,0.7809218285372257,versus
HAI06,R1,0.7993607669774313,0.7889794583153867,versus
HAI21,R1,2.6260978990330717,2.6167523549083986,versus
HAI03,R13,1.05,1.0483687208700156,versus
HAI03,R18,0.569,0.5681160020714655,versus
HAI03,R22,0.047,0.046926980838943554,versus
HAI03,R27,0.144,0.14377628171931642,versus
